KO	Replicate	Depth	Layer	Sample	Element	General.Process	Specific.Process	Gene.products..enzymes	Gene.clusters	KEGG_Homologs_per_Gene_Cluster	KEGG_Description	KEGG_Metabolism	CPM
K00392	9.4_A_3D	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	sir	1	sir; sulfite reductase (ferredoxin)	Sulfur_Metabolism	17
K00392	9.4_B_3C	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	sir	1	sir; sulfite reductase (ferredoxin)	Sulfur_Metabolism	13
K00392	9.4_A_3C	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	sir	1	sir; sulfite reductase (ferredoxin)	Sulfur_Metabolism	17
K00392	9.4_C_3A	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	sir	1	sir; sulfite reductase (ferredoxin)	Sulfur_Metabolism	0
K00855	9.4_B_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	prk	1	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	Carbon_Fixation_in_Photosynthetic_Organisms	0
K00855	9.4_C_3A	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	prk	1	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	Carbon_Fixation_in_Photosynthetic_Organisms	0
K00855	9.4_A_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	prk	1	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	Carbon_Fixation_in_Photosynthetic_Organisms	16
K00855	9.4_A_3D	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	prk	1	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	Carbon_Fixation_in_Photosynthetic_Organisms	18
K00855	9.4_C_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	prk	1	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	Carbon_Fixation_in_Photosynthetic_Organisms	26
K00855	9.4_B_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	prk	1	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	Carbon_Fixation_in_Photosynthetic_Organisms	11
K00855	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	prk	1	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	Carbon_Fixation_in_Photosynthetic_Organisms	5
K01176	9.4_B_3B	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	amy	2	AMY, amyA, malS; alpha-amylase	Carbohydrate Metabolism	28
K01176	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	amy	2	AMY, amyA, malS; alpha-amylase	Carbohydrate Metabolism	31
K01176	9.4_B_3C	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	amy	2	AMY, amyA, malS; alpha-amylase	Carbohydrate Metabolism	35
K01176	9.4_A_3D	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	amy	2	AMY, amyA, malS; alpha-amylase	Carbohydrate Metabolism	29
K01176	9.4_C_3A	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	amy	2	AMY, amyA, malS; alpha-amylase	Carbohydrate Metabolism	29
K01176	9.4_C_3B	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	amy	2	AMY, amyA, malS; alpha-amylase	Carbohydrate Metabolism	14
K01176	9.4_A_3C	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	amy	2	AMY, amyA, malS; alpha-amylase	Carbohydrate Metabolism	30
K01183	9.4_C_3A	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	chi	6	E3.2.1.14; chitinase	Carbohydrate Metabolism	0
K01183	9.4_A_3D	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	chi	6	E3.2.1.14; chitinase	Carbohydrate Metabolism	0
K01183	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	chi	6	E3.2.1.14; chitinase	Carbohydrate Metabolism	0
K01183	9.4_B_3B	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	chi	6	E3.2.1.14; chitinase	Carbohydrate Metabolism	0
K01183	9.4_A_3C	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	chi	6	E3.2.1.14; chitinase	Carbohydrate Metabolism	0
K01183	9.4_C_3B	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	chi	6	E3.2.1.14; chitinase	Carbohydrate Metabolism	0
K01183	9.4_B_3C	9.0	Top	9_Top	Carbon	Decomposition	Polysaccharide Catabolism	Amylase, Cellulase, Pectinase, Chitinase	chi	6	E3.2.1.14; chitinase	Carbohydrate Metabolism	0
K01601	9.4_A_3D	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	37
K01601	9.4_B_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	31
