KO	Replicate	Depth	Layer	Sample	Element	General.Process	Specific.Process	Gene.products..enzymes	Gene.clusters	KEGG_Homologs_per_Gene_Cluster	KEGG_Description	KEGG_Metabolism	CPM
K02698	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaK; photosystem I subunit X	Photosynthesis_Proteins	0
K02699	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	6
K02699	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	0
K02699	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	0
K02699	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	5
K02699	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	0
K02699	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	0
K02699	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	0
K02699	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psa	16	psaL; photosystem I subunit XI	Photosynthesis	5
K02703	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	20
K02703	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	58
K02703	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	31
K02703	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	17
K02703	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	29
K02703	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	25
K02703	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	10
K02703	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis_Proteins	17
K02704	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	11
K02704	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	10
K02704	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	9
K02704	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	8
K02704	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	21
K02704	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	7
K02704	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	5
K02704	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbB; photosystem II CP47 chlorophyll apoprotein	Photosynthesis_Proteins	4
K02705	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	15
K02705	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	12
K02705	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	0
K02705	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	14
K02705	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	7
K02705	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	2
K02705	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	8
K02705	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbC; photosystem II CP43 chlorophyll apoprotein	Photosynthesis	6
K02706	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	42
K02706	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	15
K02706	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	18
K02706	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	7
K02706	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	11
K02706	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	12
K02706	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	13
K02706	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	Photosynthesis	25
K02707	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02707	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02707	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02707	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02707	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02707	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02707	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02707	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbE; photosystem II cytochrome b559 subunit alpha	Photosynthesis	0
K02709	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02709	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02709	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02709	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02709	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02709	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02709	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02709	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbH; photosystem II PsbH protein	Photosynthesis	0
K02716	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	8
K02716	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	3
K02716	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	0
K02716	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	0
K02716	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	5
K02716	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	5
K02716	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	0
K02716	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbO; photosystem II oxygen-evolving enhancer protein 1	Photosynthesis	0
K02717	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	12
K02717	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	6
K02717	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	3
K02717	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	8
K02717	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	0
K02717	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	0
K02717	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	11
K02717	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbP; photosystem II oxygen-evolving enhancer protein 2	Photosynthesis_Proteins	0
K02719	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	0
K02719	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	0
K02719	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	7
K02719	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	0
K02719	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	0
K02719	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	4
K02719	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	0
K02719	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbU; photosystem II PsbU protein	Photosynthesis	0
K02720	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	1
K02720	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	0
K02720	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	0
K02720	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	0
K02720	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	0
K02720	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	0
K02720	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	0
K02720	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbV; photosystem II cytochrome c550	Photosynthesis_Proteins	17
K02724	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K02724	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K02724	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K02724	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K02724	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K02724	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K02724	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K02724	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Oxygenic Photosynthesis	Assembly of Photosynthetic Complex	Photosystem I and Photosystem II Subunits	psb	27	psbZ; photosystem II PsbZ protein	Photosynthesis	0
K03388	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03388	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03388	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03388	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03388	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03388	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03388	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03388	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_A_4B	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_B_4A	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_C_4A	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_C_4B	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03389	9.4_A_4A	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	Methane_Metabolism	0
K03390	9.4_A_4C	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrC; heterodisulfide reductase subunit C [EC:1.8.98.1]	Methane_Metabolism	0
K03390	9.4_C_4C	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrC; heterodisulfide reductase subunit C [EC:1.8.98.1]	Methane_Metabolism	0
K03390	9.4_A_4D	9.0	Middle	9_Middle	Carbon	Methanogenesis	Methane Oxidation	Methylreductase, heterodisulphide reductase	hdr	5	hdrC; heterodisulfide reductase subunit C [EC:1.8.98.1]	Methane_Metabolism	0
